CL:0001658	visual pigment cell (sensu Nematoda and Protostomia)
CL:1000239	anterior lateral line nerve glial cell
CL:1000236	posterior lateral line nerve glial cell
CL:1000245	posterior lateral line ganglion neuron
CL:1000217	growth plate cartilage chondrocyte
CL:1000617	kidney inner medulla cell
CL:1000618	juxtaglomerular complex cell
CL:1000615	kidney cortex tubule cell
CL:1000616	kidney outer medulla cell
CL:1000612	kidney corpuscule cell
CL:1000223	lung neuroendocrine cell
CL:1000222	stomach neuroendocrine cell
CL:1000682	kidney medulla interstitial cell
CL:1000281	smooth muscle cell of cecum
CL:1000280	smooth muscle cell of colon
CL:1000283	smooth muscle fiber of transverse colon
CL:2000030	hypothalamus native cell
CL:1000282	smooth muscle fiber of ascending colon
CL:2000031	lateral line ganglion neuron
CL:1000285	smooth muscle cell of sigmoid colon
CL:1000284	smooth muscle fiber of descending colon
CL:1000275	smooth muscle cell of small intestine
CL:2000024	spinal cord medial motor column neuron
CL:1000276	smooth muscle fiber of duodenum
CL:2000023	spinal cord ventral column interneuron
CL:1000277	smooth muscle fiber of jejunum
CL:2000022	cardiac septum native cell
CL:1000278	smooth muscle fiber of ileum
CL:2000021	sebaceous gland native cell
CL:1000279	smooth muscle cell of large intestine
CL:2000028	cerebellum glutamatergic neuron
CL:2000027	cerebellum basket cell
CL:2000025	spinal cord oligodendrocyte
CL:2000029	central nervous system neuron
CL:1000691	kidney interstitial myofibroblast
CL:1000692	kidney interstitial fibroblast
CL:1001287	outer medulla vasa recta descending limb cell
CL:1000291	myocyte of posterior internodal tract
CL:1000290	myocyte of middle internodal tract
CL:1000296	epithelial cell of urethra
CL:2000020	inner cell mass native cell
CL:2000011	dermis lymphatic vessel endothelial cell
CL:1000288	myocyte of atrial branch of anterior internodal tract
CL:1000289	myocyte of atrial septal branch of anterior internodal tract
CL:2000010	dermis blood vessel endothelial cell
CL:1000286	smooth muscle cell of rectum
CL:2000013	fibroblast of skin of abdomen
CL:1000287	myocyte of anterior internodal tract
CL:2000012	fibroblast of pedal digit skin
CL:2000015	fibroblast of arm
CL:2000014	fibroblast of upper leg skin
CL:2000017	fibroblast of peridontal ligament
CL:2000016	lung microvascular endothelial cell
CL:2000019	compound eye photoreceptor cell
CL:2000018	endothelial cell of coronary artery
CL:1000681	kidney cortex interstitial cell
CL:0000501	granulosa cell
CL:0000500	follicular epithelial cell
CL:0000503	theca cell
CL:0000502	type D enteroendocrine cell
CL:0000509	gastrin secreting cell
CL:0000508	type G enteroendocrine cell
CL:0000505	substance P secreting cell
CL:0000504	enterochromaffin-like cell
CL:0000507	endorphin secreting cell
CL:0000506	enkephalin secreting cell
CL:2000006	tonsil germinal center B cell
CL:2000005	brain macroglial cell
CL:2000004	pituitary gland cell
CL:2000002	decidua cell
CL:2000001	peripheral blood mononuclear cell
CL:2000000	epidermal melanocyte
CL:2000008	microvascular endothelial cell
CL:1001286	inner medulla vasa recta descending limb cell
CL:2000007	articular chondrocyte of knee joint
CL:1001285	vasa recta descending limb cell
CL:0000110	peptidergic neuron
CL:1000274	trophectodermal cell
CL:1000272	lung secretory cell
CL:1000271	lung ciliated cell
CL:0000106	unipolar neuron
CL:0000107	autonomic neuron
CL:0000104	multipolar neuron
CL:0000105	pseudounipolar neuron
CL:0000102	polymodal neuron
CL:0000103	bipolar neuron
CL:0000100	motor neuron
CL:0000101	sensory neuron
CL:0013000	forebrain radial glial cell
CL:0000108	cholinergic neuron
CL:0000109	adrenergic neuron
CL:0002671	endothelial stalk cell
CL:0002670	type 1 otic fibrocyte
CL:0002673	tongue muscle cell
CL:0002672	retinal progenitor cell
CL:0000528	nitrergic neuron
CL:0000529	pigmented epithelial cell
CL:0000526	afferent neuron
CL:0000527	efferent neuron
CL:0000520	prokaryotic cell
CL:0002667	type 5 otic fibrocyte
CL:0002668	type 4 otic fibrocyte
CL:0000521	fungal cell
CL:0002669	type 3 otic fibrocyte
CL:0000524	spheroplast
CL:0002663	myocardial endocrine cell of atrium
CL:0002664	cardioblast
CL:0000525	syncytiotrophoblast cell
CL:0002665	otic fibrocyte
CL:0002666	type 2 otic fibrocyte
CL:0000523	mononuclear cytotrophoblast cell
CL:0002662	luminal cell of lactiferous duct
CL:0002661	luminal cell of lactiferous terminal ductal lobular unit
CL:0002660	luminal cell of acinus of lactiferous gland
CL:0000515	skeletal muscle myoblast
CL:0000516	perineuronal satellite cell
CL:0000517	macrophage derived foam cell
CL:0000518	phagocyte (sensu Vertebrata)
CL:0000519	phagocyte (sensu Nematoda and Protostomia)
CL:0002658	glandular cell of the large intestine
CL:0002659	glandular cell of stomach
CL:0002656	glandular cell of endometrium
CL:0002657	glandular cell of esophagus
CL:0000510	paneth cell
CL:0000511	androgen binding protein secreting cell
CL:0002654	epithelial cell of stratum corneum of esophageal epithelium
CL:0000512	paracrine cell
CL:0002655	epithelial cell of stratum spinosum of esophageal epithelium
CL:0002652	endothelial cell of high endothelial venule
CL:0000513	cardiac muscle myoblast
CL:0002653	squamous endothelial cell
CL:0000514	smooth muscle myoblast
CL:0000550	polychromatophilic erythroblast
CL:0000548	animal cell
CL:0000549	basophilic erythroblast
CL:0000546	T-helper 2 cell
CL:0000547	proerythroblast
CL:0000544	slowly adapting mechanoreceptor cell
CL:0000545	T-helper 1 cell
CL:0000542	lymphocyte
CL:0000540	neuron
CL:0000541	melanoblast
CL:0002680	PP cell of intestine
CL:0002681	kidney cortical cell
CL:2000038	posterior lateral line neuromast mantle cell
CL:2000039	posterior lateral line neuromast support cell
CL:2000036	anterior lateral line neuromast support cell
CL:2000037	posterior lateral line neuromast hair cell
CL:2000034	anterior lateral line neuromast hair cell
CL:2000035	anterior lateral line neuromast mantle cell
CL:2000032	peripheral nervous system neuron
CL:2000033	limb basal cell of epidermis
CL:1000697	kidney interstitial suppressor macrophage
CL:0002676	neural crest derived neuroblast
CL:0000533	primary motor neuron
CL:1000698	kidney resident macrophage
CL:0000534	primary interneuron
CL:0002677	naive regulatory T cell
CL:0002674	H minus
CL:1000699	kidney resident dendritic cell
CL:0000535	secondary neuron
CL:0002675	H plus
CL:0000536	secondary motor neuron
CL:1000693	kidney interstitial fibrocyte
CL:0000530	primary neuron
CL:1000695	kidney interstitial alternatively activated macrophage
CL:0000531	primary sensory neuron
