Taxon	Mnemonic	Scientific name	Common name	Synonym	Other Names	Reviewed	Rank	Lineage	Parent
11788	MLVAB	Abelson murine leukemia virus			Abelson mouse leukemia virus Ab-MLV	reviewed	Species	Viruses; Retro-transcribing viruses; Retroviridae; Orthoretrovirinae; Gammaretrovirus	353207
45372	ABIAL	Abies alba	Edeltanne	European silver fir	Abies alba Mill.; Christmas-tree; abete-blanco; sapin-blanc; silver fir	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Abies	3319
66168	ABIBR	Abies bracteata	Bristle-cone fir		Santa Lucia fir	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Abies	3319
78260	ABIFI	Abies firma	Momi fir		Japanese fir	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Abies	3319
46611	ABIGR	Abies grandis	Grand fir		lowland fir; lowland white fir; silver fir; white fir; yellow fir	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Abies	3319
97168	ABIHL	Abies holophylla	Neddle fir	Manchurian fir		reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Abies	3319
78261	ABIHO	Abies homolepis	Nikko fir			reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Abies	3319
3320	ABIMA	Abies magnifica	Red fir		California red fir	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Abies	3319
78263	ABIMR	Abies mariesii	Marie's fir			reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Abies	3319
78264	ABISA	Abies sachalinensis	Sakhalin fir	Abies veitchii var. sachalinensis		reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Abies	3319
78262	ABIVE	Abies veitchii	Veitch fir			reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Abies	3319
46125	ABIDE	Abiotrophia defectiva		Streptococcus defectivus	Abiotrophia defectiva (Bouvet et al. 1989) Kawamura et al. 1995; Abiotrophia defectivus; Streptococcus defectivus Bouvet et al. 1989	reviewed	Species	Bacteria; Firmicutes; Lactobacillales; Aerococcaceae; Abiotrophia	46123
89096	ABRAN	Abrothrix andinus	Andean mouse			reviewed	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Sciurognathi; Muroidea; Cricetidae; Sigmodontinae; Abrothrix	156196
3816	ABRPR	Abrus precatorius	Indian licorice	Glycine abrus	Abrus cyaneus; crab's eye; crab's-eye; rosary pea	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Abreae; Abrus	3815
4829	ABSGL	Absidia glauca	Pin mould			reviewed	Species	Eukaryota; Fungi; Fungi incertae sedis; Early diverging fungal lineages; Mucoromycotina; Mucorales; Mucoraceae; Absidia	4828
126712	ABSSP	Absidia spinosa				reviewed	Species	Eukaryota; Fungi; Fungi incertae sedis; Early diverging fungal lineages; Mucoromycotina; Mucorales; Mucoraceae; Absidia	4828
10816	ABMVW	Abutilon mosaic virus (isolate West India)	AbMV		Abutilon mosaic virus - [WEST INDIA]	reviewed		Viruses; ssDNA viruses; Geminiviridae; Begomovirus	10815
3631	ABUTH	Abutilon theophrasti	Velvet-leaf	Sida abutilon	Abutilon avicennae; Abutilon theophrasti Medik.; China jute; Indian mallow; butterprint; velvetleaf	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons; rosids; malvids; Malvales; Malvaceae; Malvoideae; Abutilon	3630
61637	ABYKO	Abyssocottus korotneffi	Baikalian deep-water sculpin			reviewed	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Euteleostei; Neoteleostei; Acanthomorpha; Acanthopterygii; Percomorpha; Scorpaeniformes; Cottoidei; Abyssocottidae; Abyssocottus	61636
3809	ACACO	Acacia confusa	Formosa acacia		Acacia confusa Merr.	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons; rosids; fabids; Fabales; Fabaceae; Mimosoideae; Acacieae; Acacia	3808
72368	ACAFA	Acacia farnesiana	Sweet acacia	Vachellia farnesiana	Acacia farnesiana (L.) Willd.; Vachellia farnesiana (L.) Wight & Arn.; Vachiella farnesiana; dead-finish; prickly Moses; sheep's briar	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons; rosids; fabids; Fabales; Fabaceae; Mimosoideae; Acacieae; Vachellia	468162
85306	ACALU	Acalolepta luxuriosa	Udo longhorn beetle		Acalolepta luxuriosa (Bates, 1873)	reviewed	Species	Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Coleoptera; Polyphaga; Cucujiformia; Chrysomeloidea; Cerambycidae; Lamiinae; Monochamini; Acalolepta	85305
8676	ACAPE	Acalyptophis peronii	Peron's sea snake	Horned sea snake	Acalyptophis peroni	reviewed	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Lepidosauria; Squamata; Scleroglossa; Serpentes; Colubroidea; Hydrophiidae; Acalyptophis	8675
5755	ACACA	Acanthamoeba castellanii	Amoeba		Acanthamoeba castellani	reviewed	Species	Eukaryota; Amoebozoa; Centramoebida; Acanthamoebidae; Acanthamoeba	5754
5757	ACAPO	Acanthamoeba polyphaga	Amoeba			reviewed	Species	Eukaryota; Amoebozoa; Centramoebida; Acanthamoebidae; Acanthamoeba	5754
212035	MIMIV	Acanthamoeba polyphaga mimivirus	APMV		Acanthomoeba polyphaga mimivirus; Mimi	reviewed	Species	Viruses; dsDNA viruses, no RNA stage; Mimiviridae; Mimivirus	315393
133434	ACAPL	Acanthaster planci	Crown-of-thorns starfish		crown of thorns starfish	reviewed	Species	Eukaryota; Metazoa; Echinodermata; Eleutherozoa; Asterozoa; Asteroidea; Valvatacea; Valvatida; Acanthasteridae; Acanthaster	133433
6277	ACAVI	Acanthocheilonema viteae	Filarial nematode worm	Dipetalonema viteae		reviewed	Species	Eukaryota; Metazoa; Nematoda; Chromadorea; Spirurida; Filarioidea; Onchocercidae; Acanthocheilonema	6276
8179	ACABU	Acanthopagrus butcheri	Australian black bream		Acanthopagrus butcheri (Munro, 1949); Acanthophagrus butcheri; Mylio butcheri; southern black bream	reviewed	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Euteleostei; Neoteleostei; Acanthomorpha; Acanthopterygii; Percomorpha; Perciformes; Percoidei; Sparidae; Acanthopagrus	8176
8177	ACALA	Acanthopagrus latus	Yellowfin seabream	Sparus latus	Acanthopagrus latus (Houttuyn, 1782); Acanthophagrus latus	reviewed	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Euteleostei; Neoteleostei; Acanthomorpha; Acanthopterygii; Percomorpha; Perciformes; Percoidei; Sparidae; Acanthopagrus	8176
72011	ACASC	Acanthopagrus schlegelii	Black porgy		Acanthopagrus schlegeli; Acanthopagrus schlegelii (Bleeker, 1854); Mylio macrocephalus; Sparus macrocephalus; black sea bream	reviewed	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Euteleostei; Neoteleostei; Acanthomorpha; Acanthopterygii; Percomorpha; Perciformes; Percoidei; Sparidae; Acanthopagrus	8176
8605	ACAAN	Acanthophis antarcticus	Common death adder		Acanthophis antarcticus (Shaw, 1794); death adder	reviewed	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Lepidosauria; Squamata; Scleroglossa; Serpentes; Colubroidea; Elapidae; Acanthophiinae; Acanthophis	8604
239748	ACASE	Acanthophis rugosus	Irian Jayan death adder		Acanthophis antarcticus rugosus	reviewed	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Lepidosauria; Squamata; Scleroglossa; Serpentes; Colubroidea; Elapidae; Acanthophiinae; Acanthophis	8604
412080	ACASS	Acanthophis sp. (strain Seram)	Seram death adder		Acanthophis sp. Seram	reviewed	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Lepidosauria; Squamata; Scleroglossa; Serpentes; Colubroidea; Elapidae; Acanthophiinae; Acanthophis	8604
115339	ACAGO	Acanthoscurria gomesiana	Tarantula spider	Phormictopus pheopygus		reviewed	Species	Eukaryota; Metazoa; Arthropoda; Chelicerata; Arachnida; Araneae; Mygalomorphae; Theraphosidae; Acanthoscurria	115338
