Ensembl Gene ID,UniProt/TrEMBL Accession,UniProt/SwissProt Accession,UniProt/SwissProt ID
ENSG00000259662,H0YG80,,
ENSG00000258865,Q86TU3,,
ENSG00000261933,,,
ENSG00000255738,B5MC01,Q13068,GAGE4_HUMAN
ENSG00000227268,,B2CW77,KILIN_HUMAN
ENSG00000263250,,Q6UX73,CP089_HUMAN
ENSG00000224420,,C9JUS6,ADM5_HUMAN
ENSG00000226894,,B3KVV0,TM11L_HUMAN
ENSG00000258664,Q9H496,,
ENSG00000258518,A6NLG4,,
ENSG00000259741,Q5VUI0,,
ENSG00000259741,Q2LD45,,
ENSG00000265969,F8W807,,
ENSG00000262355,,Q9UPU9,SMAG1_HUMAN
ENSG00000262972,,A6NFC5,TM235_HUMAN
ENSG00000263079,,A6NFC5,TM235_HUMAN
ENSG00000264568,G3V400,,
ENSG00000266326,E9PEH8,Q9Y4J8,DTNA_HUMAN
ENSG00000266326,G3V400,Q9Y4J8,DTNA_HUMAN
ENSG00000266093,,Q9Y4J8,DTNA_HUMAN
ENSG00000264886,A6NFX5,,
ENSG00000198888,G3EBI1,P03886,NU1M_HUMAN
ENSG00000198888,D2Y6X8,P03886,NU1M_HUMAN
ENSG00000198888,D2Y6X6,P03886,NU1M_HUMAN
ENSG00000198888,A6ZHG8,P03886,NU1M_HUMAN
ENSG00000198888,Q14WI3,P03886,NU1M_HUMAN
ENSG00000198888,Q5Q757,P03886,NU1M_HUMAN
ENSG00000198888,Q85KV6,P03886,NU1M_HUMAN
ENSG00000198888,Q8WCX9,P03886,NU1M_HUMAN
ENSG00000198763,D3WYY0,,
ENSG00000198763,Q14X33,,
ENSG00000198804,F8U4W0,P00395,COX1_HUMAN
ENSG00000198804,D3WYY6,P00395,COX1_HUMAN
ENSG00000198804,D3WYY5,P00395,COX1_HUMAN
ENSG00000198804,D3WYY4,P00395,COX1_HUMAN
ENSG00000198804,D2Y6W4,P00395,COX1_HUMAN
ENSG00000198804,C8YAE4,P00395,COX1_HUMAN
ENSG00000198804,C3UPN2,P00395,COX1_HUMAN
ENSG00000198804,B7TCT8,P00395,COX1_HUMAN
ENSG00000198804,B2Y9D8,P00395,COX1_HUMAN
ENSG00000198804,A5YMT3,P00395,COX1_HUMAN
ENSG00000198804,A1XP63,P00395,COX1_HUMAN
ENSG00000198804,A0S1I7,P00395,COX1_HUMAN
ENSG00000198804,Q14X83,P00395,COX1_HUMAN
ENSG00000198804,Q14XD3,P00395,COX1_HUMAN
ENSG00000198804,Q4R1L4,P00395,COX1_HUMAN
ENSG00000198804,Q5Q1W2,P00395,COX1_HUMAN
ENSG00000198804,Q7GXY8,P00395,COX1_HUMAN
ENSG00000198804,Q8HBX8,P00395,COX1_HUMAN
ENSG00000198804,Q957U9,P00395,COX1_HUMAN
ENSG00000198712,E2DTL8,P00403,COX2_HUMAN
ENSG00000198712,D3WYY9,P00403,COX2_HUMAN
ENSG00000198712,D2Y6Y2,P00403,COX2_HUMAN
ENSG00000198712,D2Y6Y1,P00403,COX2_HUMAN
ENSG00000198712,B2YKU2,P00403,COX2_HUMAN
ENSG00000198712,H9E7F7,P00403,COX2_HUMAN
ENSG00000198712,H9E7P8,P00403,COX2_HUMAN
ENSG00000198712,H9E7T7,P00403,COX2_HUMAN
ENSG00000198712,H9E7W2,P00403,COX2_HUMAN
ENSG00000198712,Q14XT3,P00403,COX2_HUMAN
ENSG00000198712,Q4R1L3,P00403,COX2_HUMAN
ENSG00000198712,Q4R1L5,P00403,COX2_HUMAN
ENSG00000198712,Q7GXZ8,P00403,COX2_HUMAN
ENSG00000228253,D3WZ02,P03928,ATP8_HUMAN
ENSG00000228253,Q85BD0,P03928,ATP8_HUMAN
ENSG00000198899,D2Y6Y7,P00846,ATP6_HUMAN
ENSG00000198899,D2Y6Y6,P00846,ATP6_HUMAN
ENSG00000198899,Q0ZFE3,P00846,ATP6_HUMAN
ENSG00000198899,Q14Y84,P00846,ATP6_HUMAN
ENSG00000198938,D3WYZ9,P00414,COX3_HUMAN
ENSG00000198938,D2Y6W2,P00414,COX3_HUMAN
ENSG00000198938,B9ECT2,P00414,COX3_HUMAN
ENSG00000198938,Q7GIM7,P00414,COX3_HUMAN
ENSG00000198938,H9E7H3,P00414,COX3_HUMAN
ENSG00000198938,Q5Y0G2,P00414,COX3_HUMAN
ENSG00000198938,Q5Y0J7,P00414,COX3_HUMAN
ENSG00000198938,Q9B1S6,P00414,COX3_HUMAN
ENSG00000198840,E7E2P6,P03897,NU3M_HUMAN
ENSG00000198840,B9ECT3,P03897,NU3M_HUMAN
ENSG00000198840,A6ZGZ8,P03897,NU3M_HUMAN
ENSG00000198840,A5WZG6,P03897,NU3M_HUMAN
ENSG00000198840,H9E796,P03897,NU3M_HUMAN
ENSG00000198840,H9E7Q2,P03897,NU3M_HUMAN
ENSG00000198840,H9E7R5,P03897,NU3M_HUMAN
ENSG00000198840,H9E7V4,P03897,NU3M_HUMAN
ENSG00000198840,Q7GXZ5,P03897,NU3M_HUMAN
ENSG00000212907,G3CA54,P03901,NU4LM_HUMAN
ENSG00000212907,G3CA02,P03901,NU4LM_HUMAN
ENSG00000212907,G3C9Y9,P03901,NU4LM_HUMAN
ENSG00000212907,F8TAD8,P03901,NU4LM_HUMAN
ENSG00000212907,D2Y6W0,P03901,NU4LM_HUMAN
ENSG00000212907,D2Y6V9,P03901,NU4LM_HUMAN
ENSG00000212907,A5WZG7,P03901,NU4LM_HUMAN
ENSG00000212907,G9LG04,P03901,NU4LM_HUMAN
ENSG00000212907,G9LHW7,P03901,NU4LM_HUMAN
ENSG00000212907,H9E7C3,P03901,NU4LM_HUMAN
ENSG00000212907,H9E7G2,P03901,NU4LM_HUMAN
ENSG00000212907,H9E7I8,P03901,NU4LM_HUMAN
ENSG00000212907,H9E7R6,P03901,NU4LM_HUMAN
ENSG00000212907,H9E7S5,P03901,NU4LM_HUMAN
ENSG00000212907,H9E7U2,P03901,NU4LM_HUMAN
ENSG00000212907,H9E7Z4,P03901,NU4LM_HUMAN
ENSG00000212907,H9E820,P03901,NU4LM_HUMAN
ENSG00000212907,H9E846,P03901,NU4LM_HUMAN
ENSG00000212907,H9E8C4,P03901,NU4LM_HUMAN
ENSG00000212907,Q7GXZ4,P03901,NU4LM_HUMAN
ENSG00000198886,D8VCQ0,P03905,NU4M_HUMAN
ENSG00000198886,D3WYZ8,P03905,NU4M_HUMAN
ENSG00000198886,D3WYZ7,P03905,NU4M_HUMAN
ENSG00000198886,D2Y6X5,P03905,NU4M_HUMAN
ENSG00000198886,D2Y6X4,P03905,NU4M_HUMAN
ENSG00000198886,B9ECU8,P03905,NU4M_HUMAN
ENSG00000198886,Q14YI3,P03905,NU4M_HUMAN
ENSG00000198886,Q14YT3,P03905,NU4M_HUMAN
ENSG00000198886,Q14Z34,P03905,NU4M_HUMAN
ENSG00000198886,Q1ZY32,P03905,NU4M_HUMAN
ENSG00000198886,Q4R1L2,P03905,NU4M_HUMAN
ENSG00000198886,Q53X31,P03905,NU4M_HUMAN
ENSG00000198886,Q85L09,P03905,NU4M_HUMAN
ENSG00000198786,D3WYZ5,P03915,NU5M_HUMAN
ENSG00000198786,D3WYZ4,P03915,NU5M_HUMAN
ENSG00000198786,D3WYZ2,P03915,NU5M_HUMAN
ENSG00000198786,D2Y6X3,P03915,NU5M_HUMAN
ENSG00000198786,D2Y6X1,P03915,NU5M_HUMAN
ENSG00000198786,D2Y6X0,P03915,NU5M_HUMAN
ENSG00000198786,D2Y6W9,P03915,NU5M_HUMAN
ENSG00000198786,D2Y6W8,P03915,NU5M_HUMAN
ENSG00000198786,D2Y6W6,P03915,NU5M_HUMAN
ENSG00000198786,D2KB98,P03915,NU5M_HUMAN
ENSG00000198786,C6JWH2,P03915,NU5M_HUMAN
ENSG00000198786,B2XIN1,P03915,NU5M_HUMAN
ENSG00000198786,A4ZHZ9,P03915,NU5M_HUMAN
ENSG00000198786,Q7GXZ2,P03915,NU5M_HUMAN
ENSG00000198786,Q14Z33,P03915,NU5M_HUMAN
ENSG00000198786,Q14ZY3,P03915,NU5M_HUMAN
ENSG00000198786,Q4R1L1,P03915,NU5M_HUMAN
ENSG00000198786,Q53X30,P03915,NU5M_HUMAN
ENSG00000198695,B9ECT7,P03923,NU6M_HUMAN
ENSG00000198695,H9M4C6,P03923,NU6M_HUMAN
ENSG00000198695,Q6XBD3,P03923,NU6M_HUMAN
ENSG00000198695,Q7GXZ1,P03923,NU6M_HUMAN
ENSG00000198727,D3WZ03,,
ENSG00000198727,D2Y6Y0,,
ENSG00000198727,D2Y6X9,,
ENSG00000198727,D2KBA2,,
ENSG00000198727,D2KBA1,,
ENSG00000198727,A6YVI1,,
ENSG00000198727,Q0ZFD6,,
ENSG00000198727,Q151G4,,
